state,pc_name,candidate,sex,age,category,party,party_symbol,general_votes,postal_votes,total_votes,total_electors
Telangana,Adilabad,"Godam Nagesh",M,49,ST,TRS,Car,425762,5085,430847,1386282
Telangana,Adilabad,Naresh,M,37,ST,INC,Hand,257994,1563,259557,1386282
Telangana,Adilabad,"Ramesh Rathod",M,48,ST,TDP,Bicycle,182879,1319,184198,1386282
Telangana,Adilabad,"Rathod Sadashiv",M,55,ST,BSP,Elephant,94363,57,94420,1386282
Telangana,Adilabad,"Nethawath Ramdas",M,44,ST,IND,"Auto- Rickshaw",41028,4,41032,1386282
Telangana,Adilabad,"Pawar Krishna",M,33,ST,IND,Bat,5051,4,5055,1386282
Telangana,Adilabad,"Banka Sahadev",M,53,ST,IND,"Gas Cylinder",4780,7,4787,1386282
Telangana,Adilabad,"Mosali Chinnaiah",M,40,ST,IND,Almirah,8842,17,8859,1386282
Telangana,Adilabad,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,17021,63,17084,1386282
Telangana,Peddapalle,"Dr.janapati Sarat Babu",M,42,SC,TDP,Bicycle,63174,160,63334,1425355
Telangana,Peddapalle,"Tagaram Shankar Lal",M,37,SC,BSP,Elephant,9430,19,9449,1425355
Telangana,Peddapalle,"Balka Suman",M,31,SC,TRS,Car,563214,2282,565496,1425355
Telangana,Peddapalle,"G. Vivekanand",M,56,SC,INC,Hand,273441,897,274338,1425355
Telangana,Peddapalle,"Kalvala Shankar",M,44,SC,PPOI,Television,9288,2,9290,1425355
Telangana,Peddapalle,"Kalvala Sanjeev",M,37,SC,RPI,"Sewing Machine",8609,0,8609,1425355
Telangana,Peddapalle,"Botha Venkata Mallaiah",M,58,SC,BCUF,Chappals,2245,0,2245,1425355
Telangana,Peddapalle,"J.v. Raju",M,50,SC,NIP,"Cup & Saucer",3020,0,3020,1425355
Telangana,Peddapalle,"Venkata Swamy Injam",M,42,SC,MaSP,Ring,3861,5,3866,1425355
Telangana,Peddapalle,"Velthuru Mallaiah",M,57,SC,RP(K),"Auto- Rickshaw",45976,1,45977,1425355
Telangana,Peddapalle,"Kamilla Jaya Rao",M,43,SC,IND,Scissors,2741,1,2742,1425355
Telangana,Peddapalle,"Gaddala Vinay Kumar",M,65,SC,IND,"Ceiling Fan",3263,3,3266,1425355
Telangana,Peddapalle,"Gorre Ramesh",M,43,SC,IND,"Gas Cylinder",2359,2,2361,1425355
Telangana,Peddapalle,"Jinna Ramadevi",F,37,SC,IND,"Battery Torch",9199,0,9199,1425355
Telangana,Peddapalle,"Thallapalli Srinivas",M,35,SC,IND,Candles,3698,1,3699,1425355
Telangana,Peddapalle,"Bupelli Narayana",M,30,SC,IND,Bat,7255,3,7258,1425355
Telangana,Peddapalle,"Moutam Ravinder",M,33,SC,IND,Almirah,2671,3,2674,1425355
Telangana,Peddapalle,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,5344,17,5361,1425355
Telangana,Karimnagar,"Chennamaneni Vidya Sagar Rao",M,73,GEN,BJP,Lotus,213836,992,214828,1550810
Telangana,Karimnagar,"Ponnam Prabhakar",M,47,GEN,INC,Hand,298386,2320,300706,1550810
Telangana,Karimnagar,"Burla. Ravi",M,42,GEN,NCP,Clock,4768,1,4769,1550810
Telangana,Karimnagar,"B. Laxman",M,53,SC,BSP,Elephant,11289,39,11328,1550810
Telangana,Karimnagar,"Vinod Kumar Boinapally",M,54,GEN,TRS,Car,503197,2161,505358,1550810
Telangana,Karimnagar,"Dr.dharmaiah Vendavetla",M,61,SC,BMUP,Cot,3771,1,3772,1550810
Telangana,Karimnagar,"L. Prabhakar Reddy",M,48,GEN,PPOI,Television,3942,1,3943,1550810
Telangana,Karimnagar,"Meesala Raji Reddy",M,44,GEN,YSRCP,"Ceiling Fan",3071,4,3075,1550810
Telangana,Karimnagar,"Ranaveni Lakshman",M,41,GEN,NIP,"Cup & Saucer",2061,1,2062,1550810
Telangana,Karimnagar,"Reddi Malla Srinivas",M,46,SC,RPI(A),"Sewing Machine",8033,1,8034,1550810
Telangana,Karimnagar,"Shaik Mahmood",M,58,GEN,WPOI,"Auto- Rickshaw",39300,8,39308,1550810
Telangana,Karimnagar,Uppuleti.laxman,M,49,SC,IND,Bat,2445,0,2445,1550810
Telangana,Karimnagar,"Kandem Prabhakar",M,45,GEN,IND,"Gas Stove",4727,1,4728,1550810
Telangana,Karimnagar,"Pulikota Ramesh",M,34,SC,IND,"Battery Torch",1772,1,1773,1550810
Telangana,Karimnagar,"Mallesh Yadav Barla",M,26,GEN,IND,Coconut,2757,0,2757,1550810
Telangana,Karimnagar,"Mohammed Amjad Mohiuddin",M,45,GEN,IND,Kite,6713,0,6713,1550810
Telangana,Karimnagar,"Srinivas Reddy Lingampally",M,41,GEN,IND,"Carrom Board",3851,0,3851,1550810
Telangana,Karimnagar,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,5722,12,5734,1550810
Telangana,Nizamabad,"Endala Lakshminarayana",M,51,GEN,BJP,Lotus,222876,2457,225333,1496193
Telangana,Nizamabad,"Kalvakuntla Kavitha",F,36,GEN,TRS,Car,435706,3601,439307,1496193
Telangana,Nizamabad,"Talari Ramulu",M,46,SC,BSP,Elephant,7398,23,7421,1496193
Telangana,Nizamabad,"Madhu Yaskhi Goud",M,56,GEN,INC,Hand,270948,1175,272123,1496193
Telangana,Nizamabad,"Abdul Gani",M,39,GEN,BCUF,Chappals,4791,0,4791,1496193
Telangana,Nizamabad,"Banja Veerappa",M,53,GEN,PPOI,Television,3649,2,3651,1496193
Telangana,Nizamabad,"Malik Mohtasim Khan",M,47,GEN,WPOI,"Auto- Rickshaw",43738,76,43814,1496193
Telangana,Nizamabad,"Rapelly Srinivas",M,39,GEN,AAAP,Broom,2613,8,2621,1496193
Telangana,Nizamabad,"Sagar Suddala",M,32,SC,BMUP,Cot,1952,26,1978,1496193
Telangana,Nizamabad,"Singareddy Ravindra Reddy",M,46,GEN,YSRCP,"Ceiling Fan",3508,21,3529,1496193
Telangana,Nizamabad,"Abdul Kareem Khan (babu)",M,44,GEN,IND,Bat,1599,2,1601,1496193
Telangana,Nizamabad,"Kandem Prabhakar",M,45,GEN,IND,"Gas Stove",3988,2,3990,1496193
Telangana,Nizamabad,"Kotapati Narsimham Naidu",M,56,GEN,IND,"Gas Cylinder",2458,4,2462,1496193
Telangana,Nizamabad,"S. Chandraiah",M,66,GEN,IND,"Cup & Saucer",2817,0,2817,1496193
Telangana,Nizamabad,"Chirulingadrula Venkatesham",M,40,GEN,IND,Coconut,3091,0,3091,1496193
Telangana,Nizamabad,"Bagwan B",M,49,ST,IND,Almirah,8129,0,8129,1496193
Telangana,Nizamabad,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,7244,22,7266,1496193
Telangana,Zahirabad,"B.b. Patil",M,58,GEN,TRS,Car,505983,2678,508661,1445354
Telangana,Zahirabad,"K.madan Mohan Rao",M,44,GEN,TDP,Bicycle,156807,690,157497,1445354
Telangana,Zahirabad,"Syed Ferozuddin",M,46,GEN,BSP,Elephant,8165,15,8180,1445354
Telangana,Zahirabad,"Suresh Kumar Shetkar",M,53,GEN,INC,Hand,362939,1091,364030,1445354
Telangana,Zahirabad,"Marri Durgesh",M,30,SC,RPI(A),"Sewing Machine",18027,0,18027,1445354
Telangana,Zahirabad,"Mahmood Mohiuddin",M,44,GEN,YSRCP,"Ceiling Fan",12369,14,12383,1445354
Telangana,Zahirabad,"Dr. Suneel Kumar Chowdhary",M,53,GEN,AAAP,Broom,3270,15,3285,1445354
Telangana,Zahirabad,"Tandale Ambaji Rao",M,45,GEN,IND,Slate,2321,2,2323,1445354
Telangana,Zahirabad,"Benjamin Raju",M,43,GEN,IND,Grapes,4802,2,4804,1445354
Telangana,Zahirabad,"Rama Rao",M,45,GEN,IND,Balloon,4426,0,4426,1445354
Telangana,Zahirabad,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,11157,33,11190,1445354
Telangana,Medak,"Kalvakuntla Chandrasekhar Rao",M,60,GEN,TRS,Car,655484,2008,657492,1536166
Telangana,Medak,"Chaganla Narendra Nath",M,49,GEN,BJP,Lotus,181177,627,181804,1536166
Telangana,Medak,"Y. Shankar Goud",M,50,GEN,BSP,Elephant,6633,10,6643,1536166
Telangana,Medak,"Dr.p. Shravan Kumar Reddy",M,39,GEN,INC,Hand,260202,261,260463,1536166
Telangana,Medak,"Iqbal Ali Zafar",M,59,GEN,MBT,Balloon,5010,0,5010,1536166
Telangana,Medak,"Kompelli Prabhudas",M,48,SC,RPI(A),"Sewing Machine",7599,0,7599,1536166
Telangana,Medak,"Prabhugoud, Pullaiahgari",M,45,GEN,YSRCP,"Ceiling Fan",11744,8,11752,1536166
Telangana,Medak,"Bomma Balesham",M,62,GEN,PPOI,Television,3296,1,3297,1536166
Telangana,Medak,"Kundeti. Ravi.",M,40,GEN,IND,Camera,33507,0,33507,1536166
Telangana,Medak,"Gajabinkar Bansilal",M,49,GEN,IND,"Basket containing Fruits",3281,0,3281,1536166
Telangana,Medak,"Gurjada Bheeraiah Yadav",M,47,GEN,IND,Coconut,2050,3,2053,1536166
Telangana,Medak,"Balaraju Mittapally",M,43,GEN,IND,"Carrom Board",2973,0,2973,1536166
Telangana,Medak,"Meka. Subba Rao",M,37,SC,IND,"Cup & Saucer",4441,0,4441,1536166
Telangana,Medak,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,10687,9,10696,1536166
Telangana,Malkajgiri,Karunakar.r,M,48,GEN,BSP,Elephant,6111,22,6133,3183083
Telangana,Malkajgiri,"Ch.malla Reddy",M,56,GEN,TDP,Bicycle,522423,933,523356,3183083
Telangana,Malkajgiri,"Sarvey Sathyanarayana",M,60,GEN,INC,Hand,232989,541,233530,3183083
Telangana,Malkajgiri,"Hanumanth Rao Mynampally",M,47,GEN,TRS,Car,493433,1757,495190,3183083
Telangana,Malkajgiri,"Dr.jayaprakash Narayan .n",M,58,GEN,LSP,Whistle,157530,718,158248,3183083
Telangana,Malkajgiri,"Jajula Bhaskar",M,39,GEN,SHP,"Auto- Rickshaw",7951,2,7953,3183083
Telangana,Malkajgiri,"V.dinesh Reddy",M,60,GEN,YSRCP,"Ceiling Fan",114941,280,115221,3183083
Telangana,Malkajgiri,"Divakar Dharanikota Sudhakar",M,28,GEN,AIMIM,Almirah,18535,9,18544,3183083
Telangana,Malkajgiri,"Paduri Srinivas Reddy",M,39,GEN,TLP,"Gas Cylinder",793,9,802,3183083
Telangana,Malkajgiri,"Bandi Sudhakar",M,39,GEN,JaSPa,Chappals,4088,7,4095,3183083
Telangana,Malkajgiri,Murari.t.n,M,60,GEN,SHS,"Bow & Arrow",1388,2,1390,3183083
Telangana,Malkajgiri,"Sathyanarayana Yaadav Peddiboyina",M,40,GEN,BCBDP,Candles,593,3,596,3183083
Telangana,Malkajgiri,"Sutharapu Padmaiah",M,60,GEN,APRSSP,Batsman,527,2,529,3183083
Telangana,Malkajgiri,"Dr.n.v.sudha Kiran",M,48,GEN,AAAP,Broom,8264,37,8301,3183083
Telangana,Malkajgiri,"Surakanti Venkat Reddy",M,50,GEN,PPOI,Television,2048,1,2049,3183083
Telangana,Malkajgiri,Anjaneyulu.e,M,28,GEN,IND,Bat,2675,2,2677,3183083
Telangana,Malkajgiri,"Kante Sayanna",M,35,GEN,IND,Stethoscope,2260,1,2261,3183083
Telangana,Malkajgiri,"Koyalkar Bhoj Raj",M,56,GEN,IND,"Basket containing Fruits",1547,0,1547,3183083
Telangana,Malkajgiri,"Gajabinkar Bansilal",M,47,GEN,IND,"Air Conditioner",1416,0,1416,3183083
Telangana,Malkajgiri,"Dasari Bharath Reddy",M,28,GEN,IND,"Cup & Saucer",1693,0,1693,3183083
Telangana,Malkajgiri,"Prof. K.nageshwar",M,50,GEN,IND,Telephone,13037,202,13239,3183083
Telangana,Malkajgiri,"M.nageswara Rao",M,60,GEN,IND,"Letter Box",1264,37,1301,3183083
Telangana,Malkajgiri,"Peesari Satish Reddy",M,32,GEN,IND,Harmonium,1325,0,1325,3183083
Telangana,Malkajgiri,"Potturi Tulasi Das",M,62,GEN,IND,"Walking Stick",411,0,411,3183083
Telangana,Malkajgiri,"Polisetty Krishna Rao",M,28,GEN,IND,Bottle,495,1,496,3183083
Telangana,Malkajgiri,D.bikshapathi,M,40,GEN,IND,Camera,5715,2,5717,3183083
Telangana,Malkajgiri,"Rahul Pandit",M,48,GEN,IND,"Battery Torch",897,2,899,3183083
Telangana,Malkajgiri,"Vattikuti Ramarao Goud",M,28,GEN,IND,"Pen Nib with Seven Rays",1031,1,1032,3183083
Telangana,Malkajgiri,M.t.varughese,M,50,GEN,IND,"Gas Stove",1025,1,1026,3183083
Telangana,Malkajgiri,"B.veera Hanumantha Reddy",M,48,GEN,IND,Slate,775,0,775,3183083
Telangana,Malkajgiri,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,8666,26,8692,3183083
Telangana,Secunderabad,"M.anjan Kumar Yadav",M,53,GEN,INC,Hand,183427,109,183536,1893741
Telangana,Secunderabad,"Khaja Khalid Anwar",M,47,GEN,BSP,Elephant,2856,7,2863,1893741
Telangana,Secunderabad,"Bandaru Dattatreya",M,66,GEN,BJP,Lotus,437860,411,438271,1893741
Telangana,Secunderabad,T.bheemsen,M,65,GEN,TRS,Car,143696,151,143847,1893741
Telangana,Secunderabad,"Abdus Sattar Mujahed",M,48,GEN,ABML(S),Balloon,807,2,809,1893741
Telangana,Secunderabad,"Dr.n.s.uday Kumar",M,53,GEN,pjdl,Television,927,1,928,1893741
Telangana,Secunderabad,"Karankote Narender",M,52,GEN,AIFB,Lion,474,0,474,1893741
Telangana,Secunderabad,"Kumar Chowdary Yadav.g",M,55,GEN,sps,Bat,547,0,547,1893741
Telangana,Secunderabad,"Khaja Sirajuddin Azaz",M,49,GEN,mmsp,Iron,957,2,959,1893741
Telangana,Secunderabad,"Chaya Ratan Musinipally",F,61,SC,AAAP,Broom,11162,22,11184,1893741
Telangana,Secunderabad,"B.deepak Kumar",M,39,SC,RPI(KH),Candles,1813,0,1813,1893741
Telangana,Secunderabad,"Narla Mohan Rao",M,47,GEN,AIMIM,Kite,145095,25,145120,1893741
Telangana,Secunderabad,"Dr.malathi Latha Eppa",F,29,GEN,JAP,Almirah,871,2,873,1893741
Telangana,Secunderabad,"Ch. Murahari",M,55,GEN,SUCI,"Glass Tumbler",552,2,554,1893741
Telangana,Secunderabad,"Mohd Imtiaz Hussain",M,35,GEN,IUML,Ladder,784,2,786,1893741
Telangana,Secunderabad,"Raghu Deshaboina",M,45,GEN,BMUP,Cot,1494,2,1496,1893741
Telangana,Secunderabad,J.ramulu,M,39,GEN,RSP,"Spade & Stoker",2057,1,2058,1893741
Telangana,Secunderabad,"Shakthi Satyavathi",F,49,ST,PPOI,"Battery Torch",638,0,638,1893741
Telangana,Secunderabad,"K. Srinivasulu",M,42,GEN,JaSPa,Chappals,3688,3,3691,1893741
Telangana,Secunderabad,"Syed Sajid Ali",M,44,GEN,YSRCP,"Ceiling Fan",45161,26,45187,1893741
Telangana,Secunderabad,"K.sai Krishna Mohan Rao",M,53,GEN,ICSP,Trumpet,2599,4,2603,1893741
Telangana,Secunderabad,"Sonu Sarsal Valmiki",M,29,SC,TECPI,"Auto- Rickshaw",2310,1,2311,1893741
Telangana,Secunderabad,"Ananth Rao Gundepally",M,43,GEN,IND,"Pen Nib with Seven Rays",779,0,779,1893741
Telangana,Secunderabad,"Avula Ranganayakulu",M,60,GEN,IND,Telephone,1143,1,1144,1893741
Telangana,Secunderabad,"Michael Daniel Ovelz",M,41,GEN,IND,Pot,291,0,291,1893741
Telangana,Secunderabad,"Mohd Abubakar Parwaiz Siddiqui",M,38,GEN,IND,"Gas Cylinder",322,0,322,1893741
Telangana,Secunderabad,"Mohammed Rizwan Hussain",M,32,GEN,IND,Coconut,370,0,370,1893741
Telangana,Secunderabad,"S. Lakshman Rao",M,50,GEN,IND,Envelope,885,1,886,1893741
Telangana,Secunderabad,"Syed Madani Quadri",M,53,GEN,IND,Bread,376,0,376,1893741
Telangana,Secunderabad,B.subramanyam,M,60,GEN,IND,Camera,2480,1,2481,1893741
Telangana,Secunderabad,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,6567,5,6572,1893741
Telangana,Hyderabad,"S Krishna Reddy",M,51,GEN,INC,Hand,49301,9,49310,1823217
Telangana,Hyderabad,"Dr.bhagavanth Rao",M,61,GEN,BJP,Lotus,311336,78,311414,1823217
Telangana,Hyderabad,"Rashid Shareef",M,53,GEN,TRS,Car,37190,5,37195,1823217
Telangana,Hyderabad,"Venu Gopal.p",M,30,SC,BSP,Elephant,3100,0,3100,1823217
Telangana,Hyderabad,"Asaduddin Owaisi",M,43,GEN,AIMIM,Kite,513777,91,513868,1823217
Telangana,Hyderabad,"S.khaja Moinuddin",M,45,GEN,AIACP,Batsman,1592,1,1593,1823217
Telangana,Hyderabad,"Jaya Vindhyala",F,49,GEN,SP(I),"Battery Torch",598,0,598,1823217
Telangana,Hyderabad,"Binghi Rajashekar",M,38,GEN,PPOI,Television,21796,0,21796,1823217
Telangana,Hyderabad,"Boddu Sainath Reddy",M,36,GEN,YSRCP,"Ceiling Fan",10735,8,10743,1823217
Telangana,Hyderabad,"N.mahender Singh",M,49,GEN,NBNP,Dao,485,0,485,1823217
Telangana,Hyderabad,"Lubna Sarwath",F,49,GEN,AAAP,Broom,6118,0,6118,1823217
Telangana,Hyderabad,"Syed Mustafa Mahmood",M,45,GEN,MBT,Bat,2101,1,2102,1823217
Telangana,Hyderabad,"Md Osman",M,52,GEN,IND,BELT,728,0,728,1823217
Telangana,Hyderabad,"Shaik Moin",M,46,GEN,IND,Candles,626,0,626,1823217
Telangana,Hyderabad,"Syed Abdul Gaffer",M,56,GEN,IND,"Gas Cylinder",740,0,740,1823217
Telangana,Hyderabad,"M A Habeeb",M,37,GEN,IND,"Carrom Board",5992,0,5992,1823217
Telangana,Hyderabad,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,5011,2,5013,1823217
Telangana,Chevella,"Konda Vishweshwar Reddy",M,54,GEN,TRS,Car,431084,3993,435077,2185164
Telangana,Chevella,"Tulla Veerender",M,31,GEN,TDP,Bicycle,352227,976,353203,2185164
Telangana,Chevella,"Patlolla Kartik Reddy",M,34,GEN,INC,Hand,360834,1220,362054,2185164
Telangana,Chevella,"Samala Ravindar",M,46,GEN,BSP,Elephant,7713,19,7732,2185164
Telangana,Chevella,"Kummari Giri",M,33,GEN,PPOI,Television,5787,2,5789,2185164
Telangana,Chevella,"Konda Raghava Reddy",M,54,GEN,YSRCP,"Ceiling Fan",40069,66,40135,2185164
Telangana,Chevella,"Dr.golla Ramaiah",M,73,GEN,TLP,"Gas Cylinder",1737,28,1765,2185164
Telangana,Chevella,"Chan Pasha",M,37,GEN,ABML(S),Kite,56832,3,56835,2185164
Telangana,Chevella,"Md Yunus Miya",M,70,GEN,MCPI,"Carrom Board",2901,3,2904,2185164
Telangana,Chevella,"Regatte Venkat Reddy",M,54,GEN,AAAP,Broom,7433,29,7462,2185164
Telangana,Chevella,"Syed Hashmathullah Quadri",M,45,GEN,IUML,Ladder,1399,12,1411,2185164
Telangana,Chevella,"Dr. P. Sadhu Satyanadhan",M,61,GEN,ICSP,Trumpet,2487,58,2545,2185164
Telangana,Chevella,"Sutharapu Padmaiah",M,61,GEN,APRSSP,Batsman,2211,3,2214,2185164
Telangana,Chevella,"G.mallesham Goud",M,38,GEN,IND,"Auto- Rickshaw",24650,10,24660,2185164
Telangana,Chevella,"Sanike Ram Gopal Yadav",M,47,GEN,IND,Ring,2056,2,2058,2185164
Telangana,Chevella,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,9989,29,10018,2185164
Telangana,Mahbubnagar,"Kadire Krishna",M,37,SC,BSP,Elephant,15690,89,15779,1418668
Telangana,Mahbubnagar,"Dr. Janardhan Reddy Nagam",M,65,GEN,BJP,Lotus,270102,2689,272791,1418668
Telangana,Mahbubnagar,"Jaipal Reddy Sudini",M,72,GEN,INC,Hand,330167,1471,331638,1418668
Telangana,Mahbubnagar,"Ap Jithender Reddy",M,60,GEN,TRS,Car,332581,1647,334228,1418668
Telangana,Mahbubnagar,S.r.premaiah,M,60,SC,PPOI,"Auto- Rickshaw",30379,9,30388,1418668
Telangana,Mahbubnagar,"H.a. Rahman",M,44,GEN,YSRCP,"Ceiling Fan",9065,40,9105,1418668
Telangana,Mahbubnagar,"Ibrahim Syed",M,44,GEN,IND,Almirah,4487,62,4549,1418668
Telangana,Mahbubnagar,"Dr. Chandra Sekhar. A",M,45,GEN,IND,Stethoscope,3983,50,4033,1418668
Telangana,Mahbubnagar,"S. Shiva Shankar",M,45,GEN,IND,"Air Conditioner",3242,10,3252,1418668
Telangana,Mahbubnagar,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,9016,21,9037,1418668
Telangana,Nagarkurnool,"Yellaiah Nandi",M,71,SC,INC,Hand,419040,1035,420075,1477305
Telangana,Nagarkurnool,"Bakkani Narsimlu",M,63,SC,TDP,Bicycle,182734,618,183352,1477305
Telangana,Nagarkurnool,"Bahadhur Srinivas",M,39,SC,BSP,Elephant,12022,67,12089,1477305
Telangana,Nagarkurnool,"Dr. Manda Jagannath",M,63,SC,TRS,Car,401212,2187,403399,1477305
Telangana,Nagarkurnool,"Maredu Gopal",M,63,SC,YSRCP,"Ceiling Fan",22955,30,22985,1477305
Telangana,Nagarkurnool,"Buddula Srinivas",M,39,SC,IND,"Auto- Rickshaw",54675,5,54680,1477305
Telangana,Nagarkurnool,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,12329,59,12388,1477305
Telangana,Nalgonda,"Kundarapu Ramesh",M,46,GEN,BSP,Elephant,11503,14,11517,1494343
Telangana,Nalgonda,"Gutha Sukhender Reddy",M,60,GEN,INC,Hand,467984,4109,472093,1494343
Telangana,Nalgonda,"Tera Chinnapa Reddy",M,50,GEN,TDP,Bicycle,277433,1504,278937,1494343
Telangana,Nalgonda,"Nandyala Narsimha Reddy",M,58,GEN,CPM,"Hammer, Sickle and Star",54157,266,54423,1494343
Telangana,Nalgonda,"Dr. Palla Rajeshwar Reddy",M,50,GEN,TRS,Car,257953,2724,260677,1494343
Telangana,Nalgonda,"Gunnam Nagi Reddy",M,64,GEN,YSRCP,"Ceiling Fan",39339,46,39385,1494343
Telangana,Nalgonda,"Tejavath Bellaiah Naik",M,42,GEN,AAAP,Broom,2297,11,2308,1494343
Telangana,Nalgonda,"Manupuri Daya Sagar",M,39,GEN,PPOI,Television,4481,14,4495,1494343
Telangana,Nalgonda,"Marri Nehemiah",M,58,GEN,IND,"Auto- Rickshaw",56256,3,56259,1494343
Telangana,Nalgonda,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,9284,21,9305,1494343
Telangana,Bhongir,"Arvapally Ambati",M,34,GEN,BSP,Elephant,9023,6,9029,1492240
Telangana,Bhongir,"Indrasena Reddy Nallu",M,64,GEN,BJP,Lotus,182849,400,183249,1492240
Telangana,Bhongir,"Komatireddy Rajgopal Reddy",M,46,GEN,INC,Hand,416240,1380,417620,1492240
Telangana,Bhongir,"Cherupally Seetharamulu",M,60,GEN,CPM,"Hammer, Sickle and Star",53973,62,54035,1492240
Telangana,Bhongir,"Dr. Boora Narsaiah Goud",M,55,GEN,TRS,Car,446822,1342,448164,1492240
Telangana,Bhongir,"Kapilavai Dileep Kumar",M,60,GEN,RLD,"Hand Pump",5550,1,5551,1492240
Telangana,Bhongir,"Guduru Janardhan Reddy",M,41,GEN,JaSPa,Chappals,2342,0,2342,1492240
Telangana,Bhongir,"Guahati Mothilal",M,45,GEN,AIMIM,Kite,2598,2,2600,1492240
Telangana,Bhongir,"Nagula Srinivas Yadav",M,44,GEN,MaSP,Scissors,1852,6,1858,1492240
Telangana,Bhongir,"Boilla Narender",M,32,SC,RPI(A),"Sewing Machine",6846,1,6847,1492240
Telangana,Bhongir,"Navulla Malla Reddy",M,42,GEN,IND,Coconut,26805,0,26805,1492240
Telangana,Bhongir,"Ravulapally Kondal Rao",M,60,GEN,IND,Television,7720,1,7721,1492240
Telangana,Bhongir,"Varikuppala Krishna Vaddera",M,45,GEN,IND,"Auto- Rickshaw",35004,0,35004,1492240
Telangana,Bhongir,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,10869,38,10907,1492240
Telangana,Warangal,"Kadiyam Srihari",M,63,SC,TRS,Car,658828,2811,661639,1537778
Telangana,Warangal,"Gannarapu Surender",M,49,SC,BSP,Elephant,9489,47,9536,1537778
Telangana,Warangal,"Parameshwar Ramagalla",M,55,SC,BJP,Lotus,186742,397,187139,1537778
Telangana,Warangal,"Rajaiah Siricilla",M,61,SC,INC,Hand,268450,615,269065,1537778
Telangana,Warangal,"Chintha Swamy",M,44,SC,AAAP,Broom,5561,8,5569,1537778
Telangana,Warangal,"Thuppari Narasimha Swamy",M,44,SC,PPOI,Television,7350,0,7350,1537778
Telangana,Warangal,"Venkanna Kannam",M,36,SC,MCPI,"Carrom Board",2257,1,2258,1537778
Telangana,Warangal,"Venkanna Neerudu",M,38,SC,BMUP,Cot,2098,0,2098,1537778
Telangana,Warangal,"Venu Esampelly",M,37,SC,AIFB,Lion,1541,0,1541,1537778
Telangana,Warangal,"Kanakam Ramesh",M,34,SC,IND,Scissors,2013,0,2013,1537778
Telangana,Warangal,"Chiluveru Prathap",M,40,SC,IND,"Gas Stove",9178,0,9178,1537778
Telangana,Warangal,"Jannu Mahendar",M,33,SC,IND,"Black Board",3209,2,3211,1537778
Telangana,Warangal,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,14007,27,14034,1537778
Telangana,Mahabubabad,"Prof. Azmeera Seetaram Naik",M,56,ST,TRS,Car,319388,1181,320569,1387288
Telangana,Mahabubabad,"P. Balram",M,49,ST,INC,Hand,283735,1842,285577,1387288
Telangana,Mahabubabad,"Banoth Mohanlal",M,49,ST,TDP,Bicycle,215664,240,215904,1387288
Telangana,Mahabubabad,"Boda Raasi",F,29,ST,BSP,Elephant,6220,4,6224,1387288
Telangana,Mahabubabad,"Kavitha Rani Lunavath",F,35,ST,PPOI,Television,6633,4,6637,1387288
Telangana,Mahabubabad,"Gugulotu Jagan",M,37,ST,MCPI,"Carrom Board",3662,0,3662,1387288
Telangana,Mahabubabad,"Tellam Venkata Rao",M,46,ST,YSRCP,"Ceiling Fan",127819,653,128472,1387288
Telangana,Mahabubabad,"Eesam Sudhakar",M,29,ST,IND,Bat,2193,0,2193,1387288
Telangana,Mahabubabad,"V. Gouri Nagamani",F,43,ST,IND,Scissors,13580,83,13663,1387288
Telangana,Mahabubabad,"Datla Nageshwar Rao",M,48,ST,IND,Pot,6833,20,6853,1387288
Telangana,Mahabubabad,"Padiga Yarraiah",M,69,ST,IND,Table,3496,2,3498,1387288
Telangana,Mahabubabad,"Payam Chandhar Rao (chinna Chandhranna)",M,53,ST,IND,"Auto- Rickshaw",94029,15,94044,1387288
Telangana,Mahabubabad,"Ponaka Sammakka",F,36,ST,IND,"Cup & Saucer",3443,0,3443,1387288
Telangana,Mahabubabad,"Balunayak Bhukya",M,34,ST,IND,"Gas Cylinder",3091,0,3091,1387288
Telangana,Mahabubabad,"Metla Papaiah",M,62,ST,IND,BUCKET,3882,43,3925,1387288
Telangana,Mahabubabad,"Laxman Bukya",M,38,ST,IND,Ring,14029,5,14034,1387288
Telangana,Mahabubabad,"Laxminarayana Borra",M,38,ST,IND,"Gas Stove",5879,0,5879,1387288
Telangana,Mahabubabad,"None Of The Above",NULL,NULL,NULL,NOTA,NOTA,6695,9,6704,1387288
Telangana,Khammam,"Kankanala Narayana",M,66,GEN,CPI,"Ears of Corn And Sickle",187266,436,187702,1440267
